"Packet comments","No.","Time","Source","Destination","Protocol","Length","Info","Data Fragment","USB data","HID Data"
"","1","0.000000","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","2","0.501008","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","3","1.002006","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c408bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","4","1.503014","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","5","2.004011","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c408bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","6","2.505002","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c408c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","7","3.006015","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","8","3.507026","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","9","4.008036","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","10","4.509023","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","11","5.010027","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c408bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","12","5.511029","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308cd00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","13","6.012050","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","14","6.513046","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308cd00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","15","6.658003","1.4.1","host","USB","128","URB_INTERRUPT in","","ff0130ff6d064d50383351451943024c002e000000000000000000000000000000000000â\200\246",""
"","16","7.014006","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c408c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","17","7.515007","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c408c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","18","8.015997","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c208bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","19","8.517000","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c308c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","20","9.018003","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c208bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","21","9.519006","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c108bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","22","10.020008","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c108c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","23","10.521011","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c208c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","24","11.022014","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c108bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","25","11.523017","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c208bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","26","12.024019","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c108c600000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","27","12.525024","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c108bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","28","13.026025","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c008bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","29","13.527027","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c108bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","30","14.028030","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0803c008bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","31","14.529032","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0903c008bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","32","15.030035","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0903c008bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","33","15.531038","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0903c008bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","34","16.032040","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0903c008bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","35","16.533043","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0903c108bf00000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","36","17.034046","1.4.1","host","USB","128","URB_INTERRUPT in","","041f0903c008b700000078060000021e00000000320000001f0000001900000041910008â\200\246",""
"","37","17.535048","1.4.1","host","USB","128","URB_INTERRUPT in","","04200103c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","38","18.036051","1.4.1","host","USB","128","URB_INTERRUPT in","","04200103c008c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","39","18.537054","1.4.1","host","USB","128","URB_INTERRUPT in","","04200103c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","40","19.038058","1.4.1","host","USB","128","URB_INTERRUPT in","","04200103c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","41","19.539062","1.4.1","host","USB","128","URB_INTERRUPT in","","04200103c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","42","20.040063","1.4.1","host","USB","128","URB_INTERRUPT in","","04200203c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","43","20.541068","1.4.1","host","USB","128","URB_INTERRUPT in","","04200203c208bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","44","21.042069","1.4.1","host","USB","128","URB_INTERRUPT in","","04200203c208bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","45","21.543072","1.4.1","host","USB","128","URB_INTERRUPT in","","04200203c208bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","46","22.043073","1.4.1","host","USB","128","URB_INTERRUPT in","","04200203c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","47","22.544076","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","48","23.045081","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","49","23.546082","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","50","24.047085","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","51","24.548088","1.4.1","host","USB","128","URB_INTERRUPT in","","04200303c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","52","25.049090","1.4.1","host","USB","128","URB_INTERRUPT in","","04200403c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","53","25.550097","1.4.1","host","USB","128","URB_INTERRUPT in","","04200403c008c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","54","26.051098","1.4.1","host","USB","128","URB_INTERRUPT in","","04200403c008c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","55","26.552101","1.4.1","host","USB","128","URB_INTERRUPT in","","04200403c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","56","27.053104","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","57","27.554104","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","58","28.055110","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","59","28.556109","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","60","29.057112","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","61","29.558115","1.4.1","host","USB","128","URB_INTERRUPT in","","04200503c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","62","30.059120","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","63","30.560123","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","64","31.061123","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","65","31.562127","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","66","32.063131","1.4.1","host","USB","128","URB_INTERRUPT in","","04200603c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","67","32.564131","1.4.1","host","USB","128","URB_INTERRUPT in","","04200703c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","68","33.065134","1.4.1","host","USB","128","URB_INTERRUPT in","","04200703c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","69","33.566137","1.4.1","host","USB","128","URB_INTERRUPT in","","04200703c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","70","34.067140","1.4.1","host","USB","128","URB_INTERRUPT in","","04200703c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","71","34.568143","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","72","35.069148","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c008bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","73","35.570148","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","74","36.071151","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","75","36.572153","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","76","37.073156","1.4.1","host","USB","128","URB_INTERRUPT in","","04200803c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","77","37.574159","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","78","38.075162","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","79","38.576167","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","80","39.077168","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","81","39.578171","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c208bf00000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","82","40.079172","1.4.1","host","USB","128","URB_INTERRUPT in","","04200903c108c600000078060000021e0000000032000000200000001900000041910008â\200\246",""
"","83","40.580187","1.4.1","host","USB","128","URB_INTERRUPT in","","04210103c108bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
"","84","41.081178","1.4.1","host","USB","128","URB_INTERRUPT in","","04210103c108bf00000078060000021e0000000032000000210000001900000041910008â\200\246",""
