Manufacturer,Model #,Form Factor,Wattage,0.1,0.2,0.5,1,Rating,Date Certified
Be Quiet,SU9-700W,ATX12V,700,0.8205,0.8654,0.8799,0.8461,Bronze,25/07/3013
SilentiumPC,SilentiumPC Supremo FM2 Gold 1000W,ATX12V & EPS12V,1000,0.9032,0.9283,0.9273,0.8901,Platinum,26/02/2021
FOURZE,FZ-PS550-001,ATX12V,550,0.8081,0.8553,0.8678,0.83,Bronze,10/02/2021
SilentiumPC,SilentiumPC Supremo FM2 Gold 850W,ATX12V & EPS12V,850,0.8938,0.9207,0.9201,0.8868,Gold,28/01/2021
SilentiumPC,SilentiumPC Supremo FM2P Platinum 1200W,ATX12V & EPS12V,1200,0.9153,0.935,0.9293,0.893,Platinum,28/01/2021
SilentiumPC,SilentiumPC Supremo FM2P Platinum 1000W,ATX12V & EPS12V,1000,0.9129,0.9331,0.9291,0.9009,Platinum,28/01/2021
SilentiumPC,SilentiumPC Supremo FM2P Platinum 850W,ATX12V & EPS12V,850,0.8998,0.9277,0.9286,0.9012,Platinum,28/01/2021
MaxPower International,MP-0950W-G,ATX12V,850,0.8636,0.9022,0.9208,0.9008,Platinum,26/01/2021
MaxPower International,MP-0850W-G,ATX12V,750,0.859,0.8961,0.9183,0.9023,Gold,26/01/2021
MaxPower International,MP-0700W-G,ATX12V,600,0.8616,0.9025,0.9208,0.9027,Platinum,26/01/2021
MaxPower International,MP-0950W-B,ATX12V,850,0.8678,0.9006,0.899,0.8495,Bronze,25/01/2021
MaxPower International,MP-0850W-B,ATX12V,750,0.8342,0.8757,0.8858,0.8372,Bronze,25/01/2021
MaxPower International,MP-0700W-B,ATX12V,600,0.7952,0.8449,0.8677,0.828,Bronze,25/01/2021
MaxPower International,MP-0650W-B,ATX12V,550,0.8047,0.8413,0.8678,0.8463,Bronze,25/01/2021
MaxPower International,MP-0550W-B,ATX12V,450,0.771,0.8349,0.8673,0.8496,Bronze,25/01/2021
ARESGAME,AGS850,ATX12V,850,0.8623,0.8998,0.9126,0.8901,Gold,21/01/2021
ARESGAME,AGS750,ATX12V,750,0.8471,0.8882,0.9113,0.8912,Gold,21/01/2021
Hanmi Micronics Inc.,SFX-650GD-F09C,SFX,650,0.8644,0.9068,0.9148,0.9013,Gold,21/01/2021
Endeks Bilisim San. Ve Dis Tic. A.S.,PG-850G01,ATX12V,850,0.8462,0.8975,0.9094,0.878,Gold,21/01/2021
Endeks Bilisim San. Ve Dis Tic. A.S.,PG-750B01,ATX12V,750,0.7643,0.8322,0.8609,0.8292,Bronze,20/01/2021
ARESGAME,AGK850,ATX12V,850,0.8643,0.9004,0.915,0.893,Gold,20/01/2021
1st Player,PS-750SFX,ATX12V,750,0.9,0.9194,0.9206,0.8909,Platinum,15/01/2021
1st Player,PS-650SFX,ATX12V,650,0.8905,0.9155,0.9213,0.8818,Gold,15/01/2021
Apevia Corp.,GALAXY1000W,ATX12V,1000,0.8692,0.8956,0.9109,0.8887,Gold,15/01/2021
Apevia Corp.,GALAXY850W,ATX12V,850,0.8585,0.8945,0.9087,0.8924,Gold,15/01/2021
Apevia Corp.,GALAXY650W,ATX12V,650,0.8696,0.9057,0.9189,0.8928,Gold,15/01/2021
Apevia Corp.,PREMIER650W,ATX12V,650,0.8658,0.9047,0.9149,0.89,Gold,15/01/2021
Apevia Corp.,PREMIER1000W,ATX12V,1000,0.8673,0.8959,0.9094,0.8844,Gold,15/01/2021
Apevia Corp.,PREMIER850W,ATX12V,850,0.858,0.8926,0.9065,0.8859,Gold,15/01/2021
SilverStone Technology Inc.,SST-AX0850MCGD-A,ATX12V,850,0.8752,0.9079,0.9132,0.8808,Gold,12/01/2021
SilverStone Technology Inc.,SST-AX0750MCGD-A,ATX12V,750,0.8691,0.903,0.9091,0.878,Gold,12/01/2021
SilverStone Technology Inc.,SST-AX0650MCGD-A,ATX12V,650,0.8569,0.8988,0.9087,0.8804,Gold,12/01/2021
SilverStone Technology Inc.,SST-AX0550MCGD-A,ATX12V,550,0.8362,0.8867,0.9064,0.8851,Gold,12/01/2021
ARESGAME,AGW600,ATX12V,600,0.8251,0.8636,0.8771,0.8439,Bronze,12/01/2021
ARESGAME,AGW550,ATX12V,550,0.8103,0.8582,0.8743,0.847,Bronze,12/01/2021
"Jingsi Shenzhen Technology Co., Ltd.",ES-RGB750W,ATX12V,750,0.8513,0.8911,0.9099,0.8904,Gold,12/01/2021
"Jingsi Shenzhen Technology Co., Ltd.",ES-RGB650W,ATX12V,650,0.8329,0.8673,0.8764,0.8413,Bronze,12/01/2021
ARESGAME,AGT1000,ATX12V,1000,0.8666,0.9079,0.9151,0.8859,Gold,11/01/2021
ARESGAME,AGT850,ATX12V,850,0.8578,0.8987,0.9111,0.8874,Gold,11/01/2021
SilverStone Technology Inc.,SST-TX700-G,TFX,700,0.8412,0.8951,0.9121,0.8893,Gold,08/01/2021
SilverStone Technology Inc.,SST-TX500-G,TFX,500,0.8257,0.8817,0.9064,0.8951,Gold,08/01/2021
Gigabyte,GP-P1000GM,ATX12V,1000,0.8776,0.9108,0.9138,0.8873,Gold,08/01/2021
ARESGAME,AGK750,ATX12V,750,0.85,0.8875,0.9043,0.8814,Gold,08/01/2021
GAMEMAX,GS600,ATX12V,600,0.7374,0.8015,0.8412,0.8149,Standard,08/01/2021
SilverStone Technology Inc.,SST-SX1000-LPT,SFX,1000,0.8722,0.9168,0.9283,0.9108,Platinum,07/01/2021
SilverStone Technology Inc.,SST-VA750-G,ATX12V,750,0.8676,0.9067,0.9164,0.8883,Gold,06/01/2021
SilverStone Technology Inc.,SST-VA650-G,ATX12V,650,0.8562,0.9013,0.9159,0.8909,Gold,06/01/2021
SilverStone Technology Inc.,SST-ET500-ARGB,ATX12V,500,0.823,0.8618,0.8726,0.8345,Bronze,06/01/2021
FSP Technology Inc.,HGE850,ATX12V & EPS12V,850,0.8486,0.9035,0.9137,0.8898,Gold,05/01/2021
"Sea Sonic Electronics Co., Ltd.",SSP-600JS,ATX12V & EPS12V,600,0.8635,0.9054,0.9131,0.8907,Gold,05/01/2021
"Sea Sonic Electronics Co., Ltd.",SSP-600JT,ATX12V & EPS12V,600,0.8635,0.9054,0.9131,0.8907,Gold,05/01/2021
BETAMED S.A,GOLD PRO 500,ATX12V,500,0.8373,0.8904,0.9127,0.8991,Gold,05/01/2021
"Sea Sonic Electronics Co., Ltd.",SSP-500JS,ATX12V & EPS12V,500,0.8559,0.9037,0.9124,0.892,Gold,04/01/2021
"Sea Sonic Electronics Co., Ltd.",SSP-400JS,ATX12V & EPS12V,400,0.8271,0.8884,0.9109,0.8957,Gold,04/01/2021
"Sea Sonic Electronics Co., Ltd.",SSP-500JT,ATX12V & EPS12V,500,0.8559,0.9037,0.9124,0.892,Gold,04/01/2021
"Sea Sonic Electronics Co., Ltd.",SSP-400JT,ATX12V & EPS12V,400,0.8271,0.8884,0.9109,0.8957,Gold,04/01/2021
Chieftronic,BDK-750FC,ATX12V,750,0.8357,0.8811,0.8917,0.8456,Bronze,22/12/2020
Chieftronic,BDK-650FC,ATX12V,650,0.8245,0.875,0.8927,0.8574,Silver,21/12/2020
Chieftronic,BDK-550FC,ATX12V,550,0.8278,0.8793,0.8881,0.8476,Bronze,21/12/2020
FSP Technology Inc.,FSP400-50FDB,FLEX ATX,400,0.8361,0.8879,0.9091,0.8839,Gold,21/12/2020
Be Quiet,P12-1000W,ATX12V,1000,0.9172,0.9443,0.9421,0.9078,Titanium,15/12/2020
Be Quiet,P12-750W,ATX12V,750,0.9128,0.9418,0.9452,0.9102,Titanium,15/12/2020
SAMA,ITX-600-1,ATX12V,600,0.838,0.8881,0.9095,0.8843,Gold,15/12/2020
Cooler Master,MPE-A501-AFCAG,ATX12V,1050,0.8843,0.9181,0.9169,0.8874,Gold,14/12/2020
SAMA,ITX-500-1,ATX12V,500,0.8201,0.8815,0.9055,0.888,Gold,14/12/2020
SAMA,ITX-550-1,ATX12V,550,0.8302,0.8849,0.9084,0.8857,Gold,14/12/2020
"Guangzhou Lianjie Electronics Co., Ltd.",LJ-850BL-500W,ATX12V,500,0.8306,0.8844,0.9144,0.9021,Gold,11/12/2020
HuntKey,HK650-51PP,ATX12V,550,0.8531,0.8983,0.9056,0.8781,Gold,11/12/2020
FSP Technology Inc.,SDA2-850,ATV12 & SFX,850,0.879,0.9136,0.9149,0.8864,Gold,10/12/2020
FSP Technology Inc.,SDA2-750,ATV12 & SFX,750,0.8744,0.909,0.9156,0.8794,Gold,10/12/2020
EVGA,850 GT,ATX12V,850,0.8411,0.8981,0.9092,0.8875,Gold,09/12/2020
Yuhui,FTX-650-A,ATX12V,650,0.8193,0.8591,0.8685,0.8269,Bronze,09/12/2020
SAMA,FTX-1050-A,ATX12V,1050,0.919,0.9275,0.9178,0.8786,Gold,09/12/2020
Evolusom Comercial Ltda.,EVG600,ATX12V,600,0.8269,0.8651,0.8737,0.8335,Bronze,08/12/2020
Evolusom Comercial Ltda.,EVG500,ATX12V,500,0.8098,0.8555,0.8721,0.8413,Bronze,08/12/2020
Zalman,ZM600-GVII-A,ATX12V,600,0.7967,0.8473,0.8624,0.8311,Bronze,07/12/2020
Zalman,ZM500-GVII-A,ATX12V,500,0.784,0.8373,0.8575,0.8272,Bronze,07/12/2020
SAMA,ITX-650-A,ATX12V,650,0.8469,0.8877,0.9057,0.8755,Gold,30/11/2020
