Model    Rated output (W)  Input (V)  Efficiency@10%   @20%   @50%  @100%  a * pout²               b * pout            c
RM1000i              1000        115            .852   .892   .905   .876  0.00010018433053123574  1.0272313660072225  14.092187353321624
RM1000i              1000        230            .854   .895   .910   .886  8.600634771656125e-05   1.0289245073649413  13.701515390258626
RM850i                850        115            .85    .89    .91    .88   0.00012280002467981107  1.0159421430340847  13.555472968718759
RM850i                850        230            .86    .91    .92    .90   8.816054254801031e-05   1.0234738318592156  10.832902491655597
RM750i                750        115            .83    .89    .91    .88   0.00015013694263596336  1.0047044721686027  14.28068356417111
RM750i                750        230            .85    .90    .92    .90   0.00010460621468919797  1.0173089573727216  11.495900706372142
RM650i                650        115            .83    .89    .91    .88   0.00017323493381072683  1.004704472168603   12.376592422281606
RM650i                650        230            .84    .90    .91    .89   0.0001241313631031037   1.0284317478987164   9.465259079360674
HX1200i              1200        115            .86    .91    .92    .90   6.244705156199815e-05   1.0234738310580973  15.293509559389241
HX1200i              1200        230            .88    .92    .94    .92   5.9413179794350966e-05  1.0023670927127724  15.886126793547152
HX1000i              1000        115            .88    .91    .92    .89   9.48609754417109e-05    1.017050986526972   11.619826520447452
HX1000i              1000        230            .88    .92    .93    .90   9.649987544008507e-05   1.0018241767296636  12.759957859756842
HX850i                850        115            .87    .90    .92    .89   0.00011552923724840388  1.0111311876704099  12.015296651918918
HX850i                850        230            .88    .91    .93    .91   8.126644224872423e-05   1.0176256272095185  10.29064044237385
HX750i                750        115            .87    .91    .92    .89   0.00013153276902318052  1.0118732314945875   9.783796618886313
HX750i                750        230            .88    .92    .93    .91   9.268856467314546e-05   1.0183515407387007   8.279822175342481
HX1000i-2022         1000        115            .89    .92    .93    .89   0.00012038623467957958  0.9899868099948035  13.125601514017152
HX1000i-2022         1000        230            .91    .93    .94    .91   8.725695209710315e-05   1.0017598021499974   9.789546063300154
HX1500i              1500        115            .87    .92    .92    .89   6.605968230747892e-05   1.0125991461405333  17.96728350708451
HX1500i              1500        230            .88    .92    .93    .91   4.634428233657273e-05   1.0183515407387007  16.559644350684962
